Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Setelah itu menangislah ia keras-keras, sehingga kedengaran kepada orang Mesir dan kepada seisi istana Firaun.	Saellana kabbi padha nyengga Yusup laju molar epakaja, sampe’ ekaedhing reng-oreng Messer se badha e lowar, ban kabar jareya sampe’ kapeyarsa ka karaton.
Dan Yusuf berkata kepada saudara-saudaranya: "Akulah Yusuf! Masih hidupkah bapa?" Tetapi saudara-saudaranya tidak dapat menjawabnya, sebab mereka takut dan gemetar menghadapi dia.	Yusup adhabu ka tan-taretanna, "Sengko’ reya Yusup. Eppa’ gi’ odhi’, ya?" E bakto ngedhing parkara jareya tan-taretanna ce’ tako’na sampe’ ta’ ngenneng nyaot.
Lalu kata Yusuf kepada saudara-saudaranya itu: "Marilah dekat-dekat." Maka mendekatlah mereka. Katanya lagi: "Akulah Yusuf, saudaramu, yang kamu jual ke Mesir.	Yusup laju adhabu, "Mara dha’ enna’." Tan-taretanna jareya nyander, ban Yusup laju adhabu pole, "Sengko’ reya Yusup, se bi’ ba’na ejuwal ka Messer rowa.
Tetapi sekarang, janganlah bersusah hati dan janganlah menyesali diri, karena kamu menjual aku ke sini, sebab untuk memelihara kehidupanlah Allah menyuruh aku mendahului kamu.	Ella ja’ tako’ ban ja’ nyala’agi aba’na polana ba’na ajuwal sengko’. Sabendherra Allah dibi’ se abakta sengko’ dha’ enna’ epajangadha’i ba’na kaangguy masalamedda oreng se bannya’.
Karena telah dua tahun ada kelaparan dalam negeri ini dan selama lima tahun lagi orang tidak akan membajak atau menuai.	Sateya reya jaman laep gi’ buru olle dhu taon; gi’ lema taon aggi’ oreng ta’ kera nyalaga ban ta’ kera anye.
Maka Allah telah menyuruh aku mendahului kamu untuk menjamin kelanjutan keturunanmu di bumi ini dan untuk memelihara hidupmu, sehingga sebagian besar dari padamu tertolong.	Allah se abakta sengko’ dha’ enna’ ajangadha’i ba’na, polana masalamedda ba’na kalaban jalan se makasambu’ ate reya, sopaja ba’na ban toronanna odhi’a terros.
Jadi bukanlah kamu yang menyuruh aku ke sini, tetapi Allah; Dialah yang telah menempatkan aku sebagai bapa bagi Firaun dan tuan atas seluruh istananya dan sebagai kuasa atas seluruh tanah Mesir.	Daddi sanyatana banne ba’na se mowang sengko’ dha’ enna’, tape Allah se abakta sengko’. Sengko’ epadaddi ponggabana rato se paleng tenggi e Messer. Sengko’ epassrae kakobasa’an ngoros roma tanggana ban sabingkerra nagara Messer.
Segeralah kamu kembali kepada bapa dan katakanlah kepadanya: Beginilah kata Yusuf, anakmu: Allah telah menempatkan aku sebagai tuan atas seluruh Mesir; datanglah mendapatkan aku, janganlah tunggu-tunggu.	Sateya kassa’ ba’na kabbi duli mole; atorragi ka eppa’ ja’ Yusup, pottrana, apessen kantha reya, ‘Kaula bi’ Allah epadaddi pangobasana saantero nagara Messer; ngereng sampeyan enggal meyos ka Messer.
Engkau akan tinggal di tanah Gosyen dan akan dekat kepadaku, engkau serta anak dan cucumu, kambing domba dan lembu sapimu dan segala milikmu.	Sampeyan kengeng alenggi e dhaera Gosyen, Pa’, semma’ sareng kaula; sampeyan, tra-pottrana sareng ja-bajana, dumba sareng embi’na, sape sareng ponapa’a saos kaagunganna sampeyan.
Di sanalah aku memelihara engkau--sebab kelaparan ini masih ada lima tahun lagi--supaya engkau jangan jatuh miskin bersama seisi rumahmu dan semua orang yang ikut serta dengan engkau.	Manabi sampeyan alenggi e Gosyen, kaula bisa ajaga sampeyan. Mosem laep paneka gi’ abit, gi’ kare lema taon aggi’. Kaula terro sopaja sampeyan sabala, jugan sareng ebinna, ja’ kantos kakorangan pa-ponapa.’"
Dan kamu telah melihat dengan mata sendiri, dan saudaraku Benyamin juga, bahwa mulutku sendiri mengatakannya kepadamu.	Yusup adhabu pole, "Sateya ba’na padha nangale’e dibi’, bariya keya ba’na, Benyamin, ja’ sengko’ reya Yusup onggu.
Sebab itu ceritakanlah kepada bapa segala kemuliaanku di negeri Mesir ini, dan segala yang telah kamu lihat, kemudian segeralah bawa bapa ke mari."	Atorragi ka eppa’ saapa rajana tang kakobasa’an e dhinna’, e Messer reya, ban careta’agi ka eppa’ pa-apa se etangale’e ba’na. Mon la mare, pas duli abali, eppa’ giba dha’ enna’."
Lalu dipeluknyalah leher Benyamin, adiknya itu, dan menangislah ia, dan menangis pulalah Benyamin pada bahu Yusuf.	Saellana jareya Yusup agellu’ Benyamin, ale’na, laju molar. Benyamin nanges keya sambi agellu’ Yusup keya.
Yusuf mencium semua saudaranya itu dengan mesra dan ia menangis sambil memeluk mereka. Sesudah itu barulah saudara-saudaranya bercakap-cakap dengan dia.	Saellana jareya, sambi gi’ molar, Yusup agellu’ tan-taretanna sarta eseyom gan settong. Saellana jareya tan-taretanna molae acaca ban Yusup.
Ketika dalam istana Firaun terdengar kabar, bahwa saudara-saudara Yusuf datang, hal itu diterima dengan baik oleh Firaun dan pegawai-pegawainya.	E bakto rato e karaton meyarsa kabar ja’ tan-taretanna Yusup padha dhateng, rato ban ba-ponggabana padha noro’ perak kabbi.
Lalu berkatalah Firaun kepada Yusuf: "Katakanlah kepada saudara-saudaramu Buatlah begini: muatilah binatang-binatangmu dan pergilah ke tanah Kanaan,	Rato laju adhabu ka Yusup, "Kassa’ tan-taretanna ba’na soro ngeba gandum, soro buwa’ ka mar-hemarra, pas soro mole ka Kana’an,
jemputlah ayahmu dan seisi rumahmu dan datanglah mendapatkan aku, maka aku akan memberikan kepadamu apa yang paling baik di tanah Mesir, sehingga kamu akan mengecap kesuburan tanah ini.	soro ngone’e eppa’na ban la-balana, soro ngalle dha’ enna’. Bi’ sengko’ eberri’ana tana se paleng bagus e Messer; eppa’na ba’na sabalana bakal odhi’a ta’ kakorangan, la’-mala’ bi-talebbi dhari hasella tanana e dhinna’.
Selanjutnya engkau mendapat perintah mengatakan kepada mereka: Buatlah begini: bawalah kereta dari tanah Mesir untuk anak-anakmu dan isteri-isterimu, jemputlah ayahmu dari sana dan datanglah ke mari.	Dhari dhinna’ tan-taretanna ba’na pagibai ta-kareta, me’ olle etompa’ binena ban na’-ana’na se gi’ ne’-kene’, ban epangone’e eppa’na.
Janganlah kamu merasa sayang meninggalkan barang-barangmu, sebab apa yang paling baik di seluruh tanah Mesir ini adalah milikmu."	Rang-barangnga se ta’ ekenneng giba soro dina; sabab pa-apa se paleng bagus e sanagara Messer bakal ekaandhi’a eppa’na ba’na ban tan-taretanna."
Demikianlah dilakukan oleh anak-anak Israel itu. Yusuf memberikan kereta kepada mereka menurut perintah Firaun; juga diberikan kepada mereka bekal di jalan.	Tra-pottrana Yakub ajalannagi dhabuna rato jareya. Bi’ Yusup eparenge pan-barampan kareta, menorot dhabuna rato, bariya keya sango se ekaparlo e jalan.
Kepada mereka masing-masing diberikannya sepotong pesalin dan kepada Benyamin diberikannya tiga ratus uang perak dan lima potong pesalin.	Tan-taretanna jareya padha eparenge kalambi anyar sasettel ebang, tape Benyamin eparenge tello ratos pesse salaka ban kalambi anyar lema settel.
Di samping itu kepada ayahnya dikirimkannya sepuluh ekor keledai jantan, dimuati dengan apa yang paling baik di Mesir, lagipula sepuluh ekor keledai betina, dimuati dengan gandum dan roti dan makanan untuk ayahnya dalam perjalanan.	Eppa’na ekereme hemar lake’ sapolo meggi’ se ebuwadi rang-barang se paleng bagus e Messer, ban hemar babine’ sapolo meggi’ se ebuwadi gandum, roti ban kakanan laenna se edha’ara eppa’na dhalem parjalanan ka Messer.
Kemudian ia melepas saudara-saudaranya serta berkata kepada mereka: "Janganlah berbantah-bantah di jalan."	Saellana jareya Yusup ngaterragi tan-taretanna se mangkada, sambi adhabu, "Ja’ atokaran e jalan."
Demikianlah mereka pergi dari tanah Mesir dan sampai di tanah Kanaan, kepada Yakub, ayah mereka.	Tan-taretanna Yusup jareya padha mangkat dhari Messer, mole ka Kana’an, ka eppa’na.
Mereka menceritakan kepadanya: "Yusuf masih hidup, bahkan dialah yang menjadi kuasa atas seluruh tanah Mesir." Tetapi hati Yakub tetap dingin, sebab ia tidak dapat mempercayai mereka.	Yusup gi’ odhi’, Pa’! ca’na reng-oreng jareya ka eppa’na. "Samangken ngobasane sanagara Messer!" E bakto meyarsa kabar jareya Yakub tababeggen ban ta’ parcaja.
Tetapi ketika mereka menyampaikan kepadanya segala perkataan yang diucapkan Yusuf, dan ketika dilihatnya kereta yang dikirim oleh Yusuf untuk menjemputnya, maka bangkitlah kembali semangat Yakub, ayah mereka itu.	Tape saellana tra-pottrana notorragi sakabbinna se edhabuwagi Yusup, ban e bakto ngoladi ta-kareta se ekeremmagi Yusup epangoneyana eppa’na ka Messer, Yakub pas cengngar pole.
Kata Yakub: "Cukuplah itu; anakku Yusuf masih hidup; aku mau pergi melihatnya, sebelum aku mati."	Tang ana’ gi’ odhi’! dhabuna. "Pera’ jareya se ekaterrowe sengko’! Sengko’ entara ngabas tang ana’ sabellunna sengko’ mate!"
Jadi berangkatlah Israel dengan segala miliknya dan ia tiba di Bersyeba, lalu dipersembahkannya korban sembelihan kepada Allah Ishak ayahnya.	Yakub arengkesse sakabbinna dhi’-andhi’na, laju meyos ka Bersyeba; e jadhiya Yakub ngatorragi kurban ka Allah se esemba Ishak, eppa’na.
Berfirmanlah Allah kepada Israel dalam penglihatan waktu malam: "Yakub, Yakub!" Sahutnya: "Ya, Tuhan."	E baja malem Allah ngaton ka Yakub, laju adhabu, "Yakub, Yakub!" "Ka’dhinto, Guste," sambidda Yakub.
Lalu firman-Nya: "Akulah Allah, Allah ayahmu, janganlah takut pergi ke Mesir, sebab Aku akan membuat engkau menjadi bangsa yang besar di sana.	Sengko’ reya Allah, se esemba eppa’na ba’na, dhabuna Allah. "Ba’na ta’ osa tako’ se entara ka Messer. Bi’ Sengko’ na’ potona ba’na epadaddiya bangsa se raja e dhissa’.
Aku sendiri akan menyertai engkau pergi ke Mesir dan tentulah Aku juga akan membawa engkau kembali; dan tangan Yusuflah yang akan mengatupkan kelopak matamu nanti."	Sengko’ abarengngana ba’na e dhalem parjalanan ka Messer. Na’ potona ba’na bi’ Sengko’ egiba’a abali ka nagara reya. Yusup bakal badha’a e seddi’anna ba’na e bakto ba’na la napa’ ka ajalla."
Lalu berangkatlah Yakub dari Bersyeba, dan anak-anak Israel membawa Yakub, ayah mereka, beserta anak dan isteri mereka, dan mereka menaiki kereta yang dikirim Firaun untuk menjemputnya.	Yakub laju meyos dhari Bersyeba. Tra-pottrana nolonge maongga eppa’na ban ji-rajina sarta na’-kana’ se gi’ ne’-kene’ ka kareta se ekereme rato Messer.
Mereka membawa juga ternaknya dan harta bendanya, yang telah diperoleh mereka di tanah Kanaan, lalu tibalah mereka di Mesir, yakni Yakub dan seluruh keturunannya bersama-sama dengan dia.	Reng-oreng jareya kabbi padha ngeba sakabbinna keban bu-obuwanna ban sakabbinna dhi’-andhi’na se ollena makompol e Kana’an. Saellana jareya kabbi laju padha mangkat ka Messer. Yakub abakta sakabbinna na’ potona, iya areya
Anak-anak dan cucu-cucunya laki-laki dan perempuan, seluruh keturunannya dibawanyalah ke Mesir.	tra-pottrana lake’ bine’, ban ja-bajana lake’ bine’.
Inilah nama-nama bani Israel yang datang ke Mesir, yakni Yakub beserta keturunannya. Anak sulung Yakub ialah Ruben.	Na’ potona Yakub se noro’ ka Messer iya areya: Ruben pottra sareyangnga
Anak-anak Ruben ialah Henokh, Palu, Hezron dan Karmi.	ban na’-ana’na: Henokh, Palu, Hezron ban Karmi.
Anak-anak Simeon ialah Yemuel, Yamin, Ohad, Yakhin dan Zohar serta Saul, anak seorang perempuan Kanaan.	Simeyon, ban na’-ana’na: Yemuwel, Yamin, Ohad, Yakhin, Zohar ban Saul, ana’ ollena ban binena se dhari Kana’an.
Anak-anak Lewi ialah Gerson, Kehat dan Merari.	Lewi ban na’-ana’na: Gerson, Kehat ban Merari.
Anak-anak Yehuda ialah Er, Onan, Syela, Peres dan Zerah; tetapi Er dan Onan mati di tanah Kanaan; dan anak-anak Peres ialah Hezron dan Hamul.	Yehuda ban na’-ana’na: Syela, Peres ban Zerah; dineng ana’na Yehuda se laenna iya areya Er ban Onan, mate e Kana’an. Na’-ana’na Peres: Hezron ban Hamul.
Anak-anak Isakhar ialah Tola, Pua, Ayub dan Simron.	Isakhar ban na’-ana’na: Tola, Pu’a, Ayyub ban Simron.
Anak-anak Zebulon ialah Sered, Elon dan Yahleel.	Zebulon ban na’-ana’na: Sered, Elon ban Yahle’el.
Itulah keturunan Lea, yang melahirkan bagi Yakub di Padan-Aram anak-anak lelaki serta Dina juga, anaknya yang perempuan. Jadi seluruhnya, laki-laki dan perempuan, berjumlah tiga puluh tiga jiwa.	Jareya kabbi tra-pottrana Yakub ollena ban Liya se lahir e Mesopotamia. Salaen dhari jareya badha pole pottrana babine’ nyamana Dina. Daddi toronanna Yakub dhari rajina se anyama Liya kabbi bannya’na tello polo tello’ oreng.
Anak-anak Gad ialah Zifyon, Hagi, Syuni, Ezbon, Eri, Arodi dan Areli.	Gad ban na’-ana’na: Zefon, Hagi, Syuni, Ezbon, Eri, Arodi ban Areli.
Anak-anak Asyer ialah Yimna, Yiswa, Yiswi dan Beria; Serah ialah saudara perempuan mereka; dan anak-anak Beria ialah Heber dan Malkiel.	Asyer ban na’-ana’na: Yimna, Yiswa, Yiswi ban Beriya sarta Serah taretan bine’na. Na’-ana’na Beriya iya areya Heber ban Malkiyel.
Itulah keturunan Zilpa, yakni hamba perempuan yang telah diberikan Laban kepada Lea, anaknya perempuan, dan yang melahirkan anak-anak bagi Yakub; seluruhnya enam belas jiwa.	Oreng se nem bellas jareya toronanna Yakub dhari Zilpa, iya areya dunor bine’ baberri’na Laban ka Liya, ana’ bine’na.
Anak-anak Rahel, isteri Yakub, ialah Yusuf dan Benyamin.	Rahel, rajina Yakub, kaagungan pottra dhadhuwa’, iya areya Yusup ban Benyamin.
Bagi Yusuf lahir Manasye dan Efraim di tanah Mesir, yang dilahirkan baginya oleh Asnat, anak perempuan Potifera, imam di On.	E Messer Yusup olle ana’ dhadhuwa’, iya areya Manasye ban Efraim se elahirragi bi’ rajina se anyama Asnat, ana’na Potifera, se daddi imam e Heliopolis.
Anak-anak Benyamin ialah Bela, Bekher, Asybel, Gera, Naaman, Ehi, Rosh, Mupim, Hupim dan Ared.	Na’-ana’na Benyamin iya areya: Bela, Bekher, Asybel, Gera, Na’aman, Ehi, Ros, Mupim, Hupim ban Ared.
Itulah keturunan Rahel, yang telah lahir bagi Yakub, seluruhnya berjumlah empat belas jiwa.	Oreng se pa’ bellas jareya toronanna Yakub dhari rajina se anyama Rahel.
Anak Dan ialah Husim.	Saterrossa iya areya Dan ban ana’na, Husim.
Anak-anak Naftali ialah Yahzeel, Guni, Yezer dan Syilem.	Naftali ban na’-ana’na: Yahze’el, Guni, Yezer ban Syilem.
Itulah keturunan Bilha, yakni hamba perempuan yang diberikan Laban kepada Rahel, anaknya yang perempuan dan yang melahirkan anak-anak itu bagi Yakub--seluruhnya berjumlah tujuh jiwa.	Oreng se kapetto jareya toronanna Yakub dhari Bilha, dunor babine’ baberri’na Laban ka Rahel, ana’na.
Semua orang yang tiba di Mesir bersama-sama dengan Yakub, yakni anak-anak kandungnya, dengan tidak terhitung isteri anak-anaknya, seluruhnya berjumlah enam puluh enam jiwa.	Toronanna Yakub se entar ka Messer kabbi bannya’na sabidak ennem oreng, ta’ tamaso’ to-mantona.
Anak-anak Yusuf yang lahir baginya di Mesir ada dua orang. Jadi keluarga Yakub yang tiba di Mesir, seluruhnya berjumlah tujuh puluh jiwa.	Tra-pottrana Yusup se lahir e Messer kadhuwa, daddi sabalana Yakub se napa’ ka Messer kabbi badha pettong polo oreng.
Yakub menyuruh Yehuda berjalan lebih dahulu mendapatkan Yusuf, supaya Yusuf datang ke Gosyen menemui ayahnya. Sementara itu sampailah mereka ke tanah Gosyen.	Bi’ Yakub Yehuda epakon mangkat kaadha’, epakon manggi’i Yusup sarta nyo’on sopaja Yusup ngamba’a eppa’na e Gosyen.
Lalu Yusuf memasang keretanya dan pergi ke Gosyen, mendapatkan Israel, ayahnya. Ketika ia bertemu dengan dia, dipeluknyalah leher ayahnya dan lama menangis pada bahunya.	Yusup nete’e karetana ngamba’a eppa’na e Gosyen. E bakto se kadhuwa jareya tatemmo, Yusup laju agellu’ eppa’na sambi molar.
Berkatalah Israel kepada Yusuf: "Sekarang bolehlah aku mati, setelah aku melihat mukamu dan mengetahui bahwa engkau masih hidup."	Dhabuna Yakub ka Yusup, "Sateya sengko’ halal tekka’a mateya, sabab sengko’ la nangale’e ba’na, ban la tao ja’ ba’na gi’ odhi’."
Kemudian berkatalah Yusuf kepada saudara-saudaranya dan kepada keluarga ayahnya itu: "Aku mau menghadap Firaun dan memberitahukan kepadanya: Saudara-saudaraku dan keluarga ayahku, yang tinggal di tanah Kanaan, telah datang kepadaku;	Yusup laju adhabu ka tan-taretanna ban la-balana se laen, "Sengko’ gi’ entara mator ka rato ja’ tang tan-taretan ban tang la-bala se dhari Kana’an la dhateng kabbi.
orang-orang itu gembala kambing domba, sebab mereka itu pemelihara ternak, dan kambing dombanya, lembu sapinya dan segala miliknya telah dibawa mereka.	Sengko’ matora ja’ ba’na kabbi oreng ngowan, se dhateng dha’ enna’ ngeba sakabbinna ebinna ban sakabbinna dhi’-andhi’na.
Apabila Firaun memanggil kamu dan bertanya: Apakah pekerjaanmu?	Mon ba’na etembali rato sarta etanya’agi apa lakona ba’na,
maka jawablah: Hamba-hambamu ini pemelihara ternak, sejak dari kecil sampai sekarang, baik kami maupun nenek moyang kami--dengan maksud supaya kamu boleh diam di tanah Gosyen.", Sebab segala gembala kambing domba adalah suatu kekejian bagi orang Mesir.	ja’ pakalero, mator ja’ molae lamba’ lakona ba’na ngowan ebin, akantha bangatowana. Daddi ba’na tanto pas eedine neptep e dhaera Gosyen." Yusup adhabu kantha jareya polana oreng Messer ta’ endha’ akompol ban oreng ngowan
Kemudian pergilah Yusuf memberitahukan kepada Firaun: "Ayahku dan saudara-saudaraku beserta kambing dombanya, lembu sapinya dan segala miliknya telah datang dari tanah Kanaan, dan sekarang mereka ada di tanah Gosyen."Dari antara saudara-saudaranya itu dibawanya lima orang menghadap Firaun.	Yusup laju ngajak taretanna se kalema, ebakta ngadhep ka rato. Atorra Yusup, "Eppa’ sareng tan-taretan abdidalem ampon rabu, abakta embi’ sareng dumbana, sape sareng sadaja dhi’-andhi’epon. Samangken sadajana padha badha e Gosyen." Tan-taretanna jareya pas ekennallagi ka rato.
